reference_answer,student_answer,score,predicted_score
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the voltage is the difference in electrical states between two terminals,1,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the terminal has an electrical state between terminals,2,2.685
a battery uses a chemical reaction to maintain different electrical states at the terminals,a chemical reaction between terminals,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the battery has electricity and the gap does not,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery always has voltage,2,2.375
a battery uses a chemical reaction to maintain different electrical states at the terminals,the terminals are not connected,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,there is a gap between terminals,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,a battery uses voltage,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,dont know,0,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because there is no gap between the positive and negative terminal,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the terminals used by the battery have no gap.,3,2.5
a battery uses a chemical reaction to maintain different electrical states at the terminals,because there is a difference in electrial states between the two terminals,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because it is the difference of the electrical state between the two battery terminals,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,it is the difference of the electrical states caused by a chemical reaction between the two terminals of the battery.,2,2.69
a battery uses a chemical reaction to maintain different electrical states at the terminals,"the electrical state difference between the battery""s two terminals",2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,i dont know,0,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because it has a positive terminal,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,tell answer,0,0.365
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery will have a different electrical state than the circuit,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the difference in electrical state,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery has a different electrical state than the incomplete circuit,3,2.87
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery uses the electrical state,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,battery will always have voltage.,2,2.33
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery keeps a chemical reaction reaction.,2,3.43
a battery uses a chemical reaction to maintain different electrical states at the terminals,"the battery uses a chemical reaction to maintain the voltage,",3,3.53
a battery uses a chemical reaction to maintain different electrical states at the terminals,there is always voltage even if there is a gap,1,
a battery uses a chemical reaction to maintain different electrical states at the terminals,there is a chemical reaction between two terminals,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,a terminal has an electrical state where theres a chemical reaction,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because a battery always has voltage,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because a battery has a chemical reaction that causes a voltage,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,a batter uses a chemical reaction to create voltage,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the voltage of the battery depends on the chemical interaction inside the battery. it does not depend on components in a curcuit.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the voltage of a battery does not depend on the components in a curcuit.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the voltage of the battery does not depend on the components in a curcuit. it depends on a chemical reaction.,2,2.36
a battery uses a chemical reaction to maintain different electrical states at the terminals,becasuse it is electrically charged,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,"yes, because there is a chemical reaction",2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,there is a chemical reaction.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,circuit do not effect electrical state between terminals,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,circuits do not effect the electrical state between two terminals.,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,an incomplete circuit would not effect the the electrical state between the terminals.,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,"the terminal""s electrical state is not effected by the incomplete circuit.",3,2.77
a battery uses a chemical reaction to maintain different electrical states at the terminals,there is still a voltage is the different terminals,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the terminal is still connected to an electrical state of the battery,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,it always has the same voltage due to a chemical reaction inside of it,2,2.68
a battery uses a chemical reaction to maintain different electrical states at the terminals,a battery is always in the same electrical state. it has a chemical reaction inside of it.,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the battery has its own electrical state within given by the lead,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery has its own chemical reaction,2,2.855
a battery uses a chemical reaction to maintain different electrical states at the terminals,because terminals are seperate,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,not connected,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,battery uses charge,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because a batter will always have a voltage even if it is 0,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because a battery will always have a voltage even if it is 0,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,"because a battery always has a chemical reaction, positive or negative",3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because a chemical reaction inside the battery keeps the positive and negative terminals at different electrical states at all times.,4,
a battery uses a chemical reaction to maintain different electrical states at the terminals,a battery will always have a voltage because the electrical states of the positive and negative terminals are always different.,1,
a battery uses a chemical reaction to maintain different electrical states at the terminals,a chemical reaction inside the battery makes the electrical states of the positive and negative terminals different at all times.,4,3.19
a battery uses a chemical reaction to maintain different electrical states at the terminals,the two terminals of a battery will always have different electrical states due to a chemical reaction inside the battery,4,
a battery uses a chemical reaction to maintain different electrical states at the terminals,there is a difference between the electrical states of the two battery terminals because they are not connected to each other,2,2.405
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the cheminal reaction of the volatge is there wther or not there is an incomplete circuit,4,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery will always have a voltage.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery is a chemical reaction that does not rely on the circuit being complete or not.,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the terminals in the battery will have an electrical state and chemical reaction that will continuously flow.,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the voltage does not change.,1,2.165
a battery uses a chemical reaction to maintain different electrical states at the terminals,because there is still a difference in electrical states. one side could have a positive connection and the other could have a negative connection,3,2.355
a battery uses a chemical reaction to maintain different electrical states at the terminals,"because the terminals are not in a closed path, so you are giving the voltage of the battery itself",2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,"because the battery always has a voltage unless it""s dead",2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because it has two electrial states within itself.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,"because they aren""t connected",2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,battery will always have a voltage,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,there will be a difference in measured electrical states,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because,0,
a battery uses a chemical reaction to maintain different electrical states at the terminals,a gap in the circuit does not affect the voltage of the battery.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because it will still be connected to one of the terminals,3,2.59
a battery uses a chemical reaction to maintain different electrical states at the terminals,an incomplete circuit does not affect voltage.,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,it can be 0,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,a battery always has voltage unless it is damaged,1,
a battery uses a chemical reaction to maintain different electrical states at the terminals,circuit has nothing to do with the batteries voltage,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,"well, it will have a voltage of zero, if that""s what you are asking.",3,2.17
a battery uses a chemical reaction to maintain different electrical states at the terminals,"the battery""s voltage comes from a chemical reaction that takes place within the battery itself.",2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the electrical states between the two battery terminals will be different no matter what,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,there is a gap,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,beacause the two terminals still have an electrical state,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the battery always has a voltage because there is a positive terminal and there is a negative terminal.,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because it is measuring the difference in electrical states between two terminals.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the battery contains chemicals that differe in electrical states.,3,2.515
a battery uses a chemical reaction to maintain different electrical states at the terminals,the voltage stays the same within the battery,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,"i don""t know",0,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the two terminals will always have different electrical states.,2,2.345
a battery uses a chemical reaction to maintain different electrical states at the terminals,because voltage is the difference in electrical states between two terminals.,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the gap creates a difference in electrical states,3,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because the battery has its own chemical reacion between the positive and negative tterminals it contains,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,the voltage of a battery is the result of chemical reactions within the battery,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because it has one regardless of the circuit,1,
a battery uses a chemical reaction to maintain different electrical states at the terminals,battery always has voltage,2,
a battery uses a chemical reaction to maintain different electrical states at the terminals,because there is a difference between the electrical states of the two terminals.,2,
terminal 6 and the positive terminal are connected,termonal 6 is connected to the positive battery terminal.,4,
terminal 6 and the positive terminal are connected,because there is no gap between the positive battery terminal and terminal 6.,4,
terminal 6 and the positive terminal are connected,because the positive batter terminal and terminal 6 were connected.,4,
terminal 6 and the positive terminal are connected,because the positive battery terminal and terminal 6 were connected.,4,
terminal 6 and the positive terminal are connected,the positive battery terminal is directly connected to terminal 6,4,
terminal 6 and the positive terminal are connected,there is a gap between the postive terminal 6,3,
terminal 6 and the positive terminal are connected,terminal 6 is connected to the difference,2,
terminal 6 and the positive terminal are connected,the negative battery terminal is separated by a gap from terminal 6,4,
terminal 6 and the positive terminal are connected,the negative battery terminal is separated by a gap from terminal 6 and bulb c is damaged,4,
terminal 6 and the positive terminal are connected,the,3,
terminal 6 and the positive terminal are connected,the negative,2,
terminal 6 and the positive terminal are connected,the positive battery terminal is not separated by a gap from terminal 6.,4,3.8
terminal 6 and the positive terminal are connected,the gap prevents the terminals from being closed,3,
terminal 6 and the positive terminal are connected,terminal is connected to postive terminal of the battery,4,3.355
terminal 6 and the positive terminal are connected,the positive battery terminal is no seperated by a gap from terminal 6,4,
terminal 6 and the positive terminal are connected,the positive battery terminal is not seperated by a gap from terminal 6,4,3.845
terminal 6 and the positive terminal are connected,no clue,0,
terminal 6 and the positive terminal are connected,the terminal is connected,2,
terminal 6 and the positive terminal are connected,there is a gap between terminal 6 and a positive battery terminal,3,3.62
terminal 6 and the positive terminal are connected,there is a gap in the path,2,
terminal 6 and the positive terminal are connected,there is a damaged bulb,2,
terminal 6 and the positive terminal are connected,the positive battery terminal and terminal 6 are connected.,4,
terminal 6 and the positive terminal are connected,there is no gap between the positive battery terminal and terminal 6,4,
terminal 6 and the positive terminal are connected,the positive battery terminal was not separted by a gap from terminal 6,4,
terminal 6 and the positive terminal are connected,terminal 6 is conncted to the positive terminal,4,
terminal 6 and the positive terminal are connected,there is no gap seperated terminal 6 and the positive terminal,4,
terminal 6 and the positive terminal are connected,answer,0,
terminal 6 and the positive terminal are connected,tell answer,0,0.31
terminal 6 and the positive terminal are connected,terminal 6 is connected to the positive battery terminal.,4,3.98
terminal 6 and the positive terminal are connected,there is no gap seperating the positive battery terminal from terminal 6,4,3.55
terminal 6 and the positive terminal are connected,terminal 6 is connected to the positive battery terminal,4,
terminal 6 and the positive terminal are connected,the positive terminal is connected to terminal 6,4,
terminal 6 and the positive terminal are connected,the positive battery terminal is not connected,3,3.285
terminal 6 and the positive terminal are connected,positive battery terminal is separated by a gap,3,
terminal 6 and the positive terminal are connected,positive battery terminal is separated by a gap from terminal 6,3,
terminal 6 and the positive terminal are connected,terminal 6 is directly connected to the positive terminal.,4,
terminal 6 and the positive terminal are connected,the positive terminal and terminal 6 are connected,4,
terminal 6 and the positive terminal are connected,the two terminals are connected,4,
terminal 6 and the positive terminal are connected,the negative battery terminal is seperated by a gap from terminal 6,4,
terminal 6 and the positive terminal are connected,the negative battery terminal is serperated by a gap from terminal 6,4,3.635
terminal 6 and the positive terminal are connected,the negative battery terminal is seperated by a gap from terminal 6 making the voltage 0,4,
terminal 6 and the positive terminal are connected,because the positive terminal is connected to terminal 6,4,3.935
terminal 6 and the positive terminal are connected,terminal 6 is connected to the positive terminal,4,
terminal 6 and the positive terminal are connected,the positive battery terminal is connected to terminal 6,4,3.965
terminal 6 and the positive terminal are connected,the positive battery terminal is connected to terminal 6.,4,
terminal 6 and the positive terminal are connected,the battery is damaged.,3,
terminal 6 and the positive terminal are connected,because there was two positive connections,3,2.89
terminal 6 and the positive terminal are connected,terminal 6 and the positive battery terminal are connected,4,
terminal 6 and the positive terminal are connected,because there is not gapp they are connected,4,
terminal 6 and the positive terminal are connected,the bulb was damaged,3,
terminal 6 and the positive terminal are connected,terminal 6 is not connected to the negative side of the battery,4,
terminal 6 and the positive terminal are connected,the ppositive battery terminal is connected in terminal 6.,4,
terminal 6 and the positive terminal are connected,it was connected.,4,
terminal 6 and the positive terminal are connected,idk,0,
terminal 6 and the positive terminal are connected,the negative battery terminal is not reaching terminal 6,2,3.56
terminal 6 and the positive terminal are connected,no idea,0,
terminal 6 and the positive terminal are connected,because it was damaged.,3,
terminal 6 and the positive terminal are connected,the negative battery terminal is separated by a gap from terminal 6.,3,
terminal 6 and the positive terminal are connected,because the positivebattery terminal is connected to terminal 6,4,
terminal 6 and the positive terminal are connected,the terminals are connected to each other.,4,
terminal 6 and the positive terminal are connected,because the positive battery terminal is not separated by a gap from terminal 6.,4,
terminal 6 and the positive terminal are connected,their is a gap.,2,
terminal 6 and the positive terminal are connected,terminal 6 and the positive terminal have the same electrical state.,2,
terminal 6 and the positive terminal are connected,the positive battery terminal is connected by a gap from terminal 6.,3,
terminal 6 and the positive terminal are connected,there is a gap in the connection,3,2.7
terminal 6 and the positive terminal are connected,connect to the terminal,2,3.18
terminal 6 and the positive terminal are connected,the battery terminal is connected to terminal 6.,2,
terminal 6 and the positive terminal are connected,the positive battery terminal is not seperated by a gap from terminal 6.,4,
terminal 6 and the positive terminal are connected,it is not connected.,3,
terminal 6 and the positive terminal are connected,not seperated by a gap,2,
terminals 1 and 2 are connected,there is a gap between terminal one and two,3,
terminals 1 and 2 are connected,there is a gap between terminal one and two and the positive battery terminal,3,
terminals 1 and 2 are connected,the terminals are seperated from the positive terminal,3,
terminals 1 and 2 are connected,the terminal 1 is connected to terminal 2,4,
terminals 1 and 2 are connected,there was a gap between the positive battery terminal and terminal 1.,3,2.995
terminals 1 and 2 are connected,there was a gap between the positive battery terminal and terminal 2.,3,2.73
terminals 1 and 2 are connected,there was no gap between the positive battery terminal and terminal 1 and terminal 2.,3,
terminals 1 and 2 are connected,because they were both seperated.,3,
terminals 1 and 2 are connected,terminal 1 is connected to terminal 2.,4,
terminals 1 and 2 are connected,terminal one is connected to the negative,3,
terminals 1 and 2 are connected,terminal is connected to the negative battery,3,2.8
terminals 1 and 2 are connected,there is a gap in terminal 1,3,
terminals 1 and 2 are connected,both terminals were connected to the negative terminal of the battery,2,2.88
terminals 1 and 2 are connected,a terminal is connected to the negative terminal of the battery,2,
terminals 1 and 2 are connected,terminals are separated by a gap between the positive and the negative terminals,3,
terminals 1 and 2 are connected,terminals are separated by a gay between the positive and negative terminals of the battery,3,2.59
terminals 1 and 2 are connected,terminal 1 is not seperated by a gap from terminal 2.,4,
terminals 1 and 2 are connected,there is not difference in eletcrical states,2,2.085
terminals 1 and 2 are connected,ok,0,
terminals 1 and 2 are connected,terminal 1 and terminal 2 possess no difference,2,2.82
terminals 1 and 2 are connected,terminal has the same electrical state,2,
terminals 1 and 2 are connected,there was a gap from terminal 2 to terminal 6,1,2.995
terminals 1 and 2 are connected,sfsf,0,
terminals 1 and 2 are connected,cd,0,
terminals 1 and 2 are connected,terminal 1 is connected to a battery,1,
terminals 1 and 2 are connected,i have no idea,0,
terminals 1 and 2 are connected,the terminal is connected,2,
terminals 1 and 2 are connected,the terminals are connected to each other,4,
terminals 1 and 2 are connected,terminal 1 is connected to terminal 2,4,
terminals 1 and 2 are connected,because there was no difference,2,
terminals 1 and 2 are connected,both of the terminals are connected to the negative battery terminal,4,
terminals 1 and 2 are connected,terminal 1 and 2 are connected to the negtive terminal of the battery,4,
terminals 1 and 2 are connected,the terminals are connected,4,
terminals 1 and 2 are connected,they have the same voltage,1,
terminals 1 and 2 are connected,terminal 1 was connected to a negative terminal 2.,3,
terminals 1 and 2 are connected,terminals 1 and 2 are seperated by a gap,3,
terminals 1 and 2 are connected,terminals 1 and 2 are not seperated by a gap,4,
terminals 1 and 2 are connected,they are both connected to the negative battery terminal,2,
terminals 1 and 2 are connected,there is no difference in electrical states,2,
terminals 1 and 2 are connected,because there is not circuits going through one,3,
terminals 1 and 2 are connected,there is not charge between them,3,
terminals 1 and 2 are connected,there was a gap between terminal 1 and terminal 2.,3,
terminals 1 and 2 are connected,there is not a gap between terminal 1 and terminal 2.,4,2.905
terminals 1 and 2 are connected,a terminal is not connected to the positive battery terminal.,2,
terminals 1 and 2 are connected,terminal 1 and terminal 2 are connected,4,
terminals 1 and 2 are connected,because they are connected,4,
terminals 1 and 2 are connected,ht negative battery terminal is seperated by a gap from terminal 1 and 2,3,
terminals 1 and 2 are connected,the negative battery terminal is seperated by a gap from terminal 1 and 2,3,
terminals 1 and 2 are connected,because they are both connected.,4,
terminals 1 and 2 are connected,they are connected,4,
terminals 1 and 2 are connected,because terminal 1 and 2 are connected to the negative battery terminal,2,
terminals 1 and 2 are connected,terminal 1 and 2 have the same difference in electrical states,3,
terminals 1 and 2 are connected,the voltage was 0 because they were on the same negative battery terminal.,2,2.285
terminals 1 and 2 are connected,terminal 1 and 2 have the same voltage because there is a working bulb connected to the negative battery terminal.,2,
terminals 1 and 2 are connected,they are both connected to the negative battery terminal.,4,2.3
terminals 1 and 2 are connected,because there was two negative connections,3,
terminals 1 and 2 are connected,because there is no gap between the terminals,4,3.15
terminals 1 and 2 are connected,terminal 1 and terminal 2 are on the same side.,2,
terminals 1 and 2 are connected,they are connected no gaps,4,
terminals 1 and 2 are connected,connected to the negative terminal,2,
terminals 1 and 2 are connected,the positive battery terminal is separated by a gap from terminal 2.,2,
terminals 1 and 2 are connected,they were connected.,4,
terminals 1 and 2 are connected,there is a gap in the path.,3,2.8
terminals 1 and 2 are connected,there is no charge,3,
terminals 1 and 2 are connected,terminal 1 and terminal 2 are connected to the negative terminal of the battery,2,
terminals 1 and 2 are connected,connectedtto - side,2,2.865
terminals 1 and 2 are connected,because they were connected within the same terminal.,4,
terminals 1 and 2 are connected,the are both connected the negative battery terminal.,2,
terminals 1 and 2 are connected,there is a gap between terminals 1 and 2 from the positive battery terminal,2,
terminals 1 and 2 are connected,there was a gap from terminal,3,
terminals 1 and 2 are connected,terminal 1 is connected to the negative terminal.,2,
terminals 1 and 2 are connected,because they were both on the negative terminal.,2,
terminals 1 and 2 are connected,terminal 1 and terminal 2 are connected to the negative battery terminal.,2,
terminals 1 and 2 are connected,because terminal 2 is connected to the positive terminal of the battery through a broken bulb.,3,
terminals 1 and 2 are connected,they both connected to the negative terminal,2,
terminals 1 and 2 are connected,becuae they are connected to the negative terminal,2,
terminals 1 and 2 are connected,contained in the same circuit not connected to the opposite terminal,3,2.97
terminals 1 and 2 are connected,because there is a gap.,3,
terminals 1 and 2 are connected,they are connected to each other,4,
terminals 1 and 2 are connected,terminall 1 and terminal 2 are connected.,4,
terminals 1 and 2 are connected,because they were connected to the same thing.,2,
terminals 1 and 2 are connected,they are connected.,4,
terminals 1 and 2 are connected,the terminals are separated from the positive battery terminal by a gap,3,
terminals 1 and 2 are connected,"i don""t know.",0,
terminals 1 and 2 are connected,they are one the same negative,2,
terminals 1 and 2 are connected,terminal 1 and terminal 2 are connected to each other.,4,
terminals 1 and 4 are connected,terminal one is connected to terminal four,4,
terminals 1 and 4 are connected,the terminal 1 is connected to terminal 4,4,
terminals 1 and 4 are connected,there was no gap between the positive battery terminal and terminal 1 and terminal 4.,3,
terminals 1 and 4 are connected,because they were both seperated.,3,
terminals 1 and 4 are connected,because terminal 1 is directly connected to terminal 4,4,
terminals 1 and 4 are connected,terminal 1 is connetced to terminal 4,4,
terminals 1 and 4 are connected,tereminal 1 is connected to terminal 4,4,
terminals 1 and 4 are connected,there is a difference in electrical states,3,
terminals 1 and 4 are connected,terminal 1 and terminal 4 are the same,2,
terminals 1 and 4 are connected,the terminal is connected,2,
terminals 1 and 4 are connected,"i""m not sure",0,
terminals 1 and 4 are connected,there is a gap in the path,2,2.7
terminals 1 and 4 are connected,there is a gap between terminal 1 and terminal 4,3,
terminals 1 and 4 are connected,there is a gap in the circuit,2,2.87
terminals 1 and 4 are connected,terminal 1 is connected to terminal 4,4,
terminals 1 and 4 are connected,the terminals are connected,4,
terminals 1 and 4 are connected,terminals are connected,4,
terminals 1 and 4 are connected,terminal 1 was connected to a negative terminal 4.,3,
terminals 1 and 4 are connected,terminals 1 and 4 are not seperated by a gap,4,
terminals 1 and 4 are connected,terminal 1 is connected to terminal 2,1,
terminals 1 and 4 are connected,terminal 1 i connected to terminal 6,3,2.965
terminals 1 and 4 are connected,a terminal is not connected to the positive battery terminal.,2,
terminals 1 and 4 are connected,terminal 1 and terminal 4 are connected,4,
terminals 1 and 4 are connected,because they are connected,4,
terminals 1 and 4 are connected,terminal 1 is seperate from terminal 4,3,
terminals 1 and 4 are connected,because they are both connected,4,
terminals 1 and 4 are connected,they are connected,4,
terminals 1 and 4 are connected,they are connected to each other,4,
terminals 1 and 4 are connected,terminal 1 is connected to terminal 4.,4,3.945
terminals 1 and 4 are connected,same reason as 2,3,
terminals 1 and 4 are connected,because the two terminals are connected,4,
terminals 1 and 4 are connected,terminal 1 and 4 connected,4,
terminals 1 and 4 are connected,they are both connected to the negative battery terminal,2,
terminals 1 and 4 are connected,the positive battery terminal is separated by a gap from terminal 4.,2,
terminals 1 and 4 are connected,1 is connected to terminal 2.,1,3.015
terminals 1 and 4 are connected,terminal 1 is connected to terminl 4.,4,3.01
terminals 1 and 4 are connected,no charge,3,2.195
terminals 1 and 4 are connected,same as above,2,
terminals 1 and 4 are connected,because they were connected within the same terminal.,4,3.34
terminals 1 and 4 are connected,terminal 1is connected to terminal 4,4,
terminals 1 and 4 are connected,because terminal 1 is connected to terminal 4.,4,
terminals 1 and 4 are connected,terminal 1 is connected toterminal 4,4,
terminals 1 and 4 are connected,terminal 1 is not connected to terminal 4.,3,
terminals 1 and 4 are connected,terminal one is connected to terminal 4,4,
terminals 1 and 6 are separated by the gap,terminal one is seperated from terminal six,2,
terminals 1 and 6 are separated by the gap,terminal one is connected to the positve battery terminal,3,
terminals 1 and 6 are separated by the gap,terminal one is not connected to terminal six,4,
terminals 1 and 6 are separated by the gap,terminal 1 is not connected to terminal 6,4,
terminals 1 and 6 are separated by the gap,the terminal 1 is seperated from terminal 6,4,
terminals 1 and 6 are separated by the gap,terminal 6 is connected to the positive battery terminal,2,2.48
terminals 1 and 6 are separated by the gap,there is a gap between the positive battery terminal and terminal 1 and terminal 6.,3,
terminals 1 and 6 are separated by the gap,because terminal 1 is not connected to terminal 6.,4,
terminals 1 and 6 are separated by the gap,because there is a gap in the connection between terminal 1 and terminal 6,4,
terminals 1 and 6 are separated by the gap,terminal is connected to terminal 6,2,
terminals 1 and 6 are separated by the gap,terminal 1 is connected to terminal 6,3,
terminals 1 and 6 are separated by the gap,terminal 6 is connected to terminal 1,3,
terminals 1 and 6 are separated by the gap,terminal 6 has gap,2,
terminals 1 and 6 are separated by the gap,l,0,
terminals 1 and 6 are separated by the gap,difference in electrial state,2,2.35
terminals 1 and 6 are separated by the gap,terminal 6 is connected to postive terminal of battery,2,
terminals 1 and 6 are separated by the gap,there is a gap,2,
terminals 1 and 6 are separated by the gap,the terminals are separated by a gap,4,
terminals 1 and 6 are separated by the gap,there is a gap between terminal 1 and terminal 6,4,
terminals 1 and 6 are separated by the gap,because there is a gap,2,
terminals 1 and 6 are separated by the gap,connected to positive terminal,2,2.745
terminals 1 and 6 are separated by the gap,positve battery terminal,2,
terminals 1 and 6 are separated by the gap,terminal 1 is connected to the negative terminal and terminal 6 is connected to the positive terminal,2,
terminals 1 and 6 are separated by the gap,terminal 1 is connected to the negative battery terminal and terminal 6 is connected to the positive battery terminal,2,
terminals 1 and 6 are separated by the gap,the terminals are not connected,4,3.26
terminals 1 and 6 are separated by the gap,terminal 1 was connected to a positive terminal 6.,3,
terminals 1 and 6 are separated by the gap,terminal 1 was connected to a positive battery terminal.,3,
terminals 1 and 6 are separated by the gap,terminals 1 and 6 are seperated by a gap,4,
terminals 1 and 6 are separated by the gap,a terminal is connected to the positive battery terminal.,2,
terminals 1 and 6 are separated by the gap,a terminal is not connected to the negative battery terminal.,2,
terminals 1 and 6 are separated by the gap,a terminal is not connected to the positive battery terminal.,2,
terminals 1 and 6 are separated by the gap,terminal 1 and terminal 6 are seperated by a gap,4,
terminals 1 and 6 are separated by the gap,a gap separates terminal 1 from terminal 6,4,
terminals 1 and 6 are separated by the gap,terminal 1 is seperate from terminal 6,4,
terminals 1 and 6 are separated by the gap,terminal 1 is conected to terminal 6,3,
terminals 1 and 6 are separated by the gap,terminal 1 is connected to negative,2,
terminals 1 and 6 are separated by the gap,because they are separated by a gap,4,
terminals 1 and 6 are separated by the gap,they are not connected,4,
terminals 1 and 6 are separated by the gap,they are seperated by a gap from bulb c,4,
terminals 1 and 6 are separated by the gap,they are seperated by a gap,4,
terminals 1 and 6 are separated by the gap,terminal 1 is not connected to terminal 6.,4,
terminals 1 and 6 are separated by the gap,terminal 6 is connected to the positive battery terminal.,2,
terminals 1 and 6 are separated by the gap,because there is a positive and negative connections,3,
terminals 1 and 6 are separated by the gap,there is a gap between the two terminals,4,
terminals 1 and 6 are separated by the gap,they are connected to different terminals,2,
terminals 1 and 6 are separated by the gap,it closes the circuit,3,
terminals 1 and 6 are separated by the gap,1s connected to 6,3,2.845
terminals 1 and 6 are separated by the gap,there is a gap seperating terminal 1 from terminal 6,4,3.665
terminals 1 and 6 are separated by the gap,connected tpo positive sie= circuit complete,3,
terminals 1 and 6 are separated by the gap,because they are not connected within the same terminal.,4,
terminals 1 and 6 are separated by the gap,there is a gap between terminal 1 and terminal 6.,4,
terminals 1 and 6 are separated by the gap,there is a gap between terminals 1 and 6,4,
terminals 1 and 6 are separated by the gap,"terminal 1 and terminal 6 are not connected, there is a gap",4,3.595
terminals 1 and 6 are separated by the gap,because there is a gap between terminal 1 and terminal 6.,4,
terminals 1 and 6 are separated by the gap,because terminal 1 and 6 are connceted to the battery.,1,
terminals 1 and 6 are separated by the gap,terminal 1 is connected to terminal 6 which is on the other side of the short circuit,3,
terminals 1 and 6 are separated by the gap,there is a gap between them - not connected,4,3.4
terminals 1 and 6 are separated by the gap,there is a gap between 1 and 6,4,2.89
terminals 1 and 6 are separated by the gap,terminal 1 is not connected to terminal 6 because there is a gap.,4,
terminals 1 and 6 are separated by the gap,they are separated by a gap.,4,
terminals 1 and 6 are separated by the gap,terminal 6 is connected to the positive terminal of the battery,2,
terminals 1 and 6 are separated by the gap,terminal one is not connected to terminal 6,4,
terminals 1 and 6 are separated by the gap,"there""s a gap",2,
measuring voltage indicates the place where the electrical state changes due to a damaged bulb.,it allows you to measure electrical states between terminals,3,
measuring voltage indicates the place where the electrical state changes due to a damaged bulb.,"because the voltage measures the difference in electrical states of two terminals, so it can determine where there is a gap, or wehre there is a connection.",4,
measuring voltage indicates the place where the electrical state changes due to a damaged bulb.,"voltage is the difference in electrical states between two terminals, so a gap or a connection in a circuit can be determined by the voltage.",4,3.09
